rank,domain,lang
1,google.com,en-IR
6,microsoft.com,en-US
8,baidu.com,
11,cloudflare.com,en-us
12,apple.com,en-US
13,linkedin.com,en
15,wikipedia.org,en
16,qq.com,zh-CN
17,live.com,en
22,azure.com,en-US
23,yahoo.com,en-US
24,googletagmanager.com,en
26,bing.com,fa
29,doubleclick.net,en
31,office.com,en-US
33,github.com,en
35,pinterest.com,en
36,wordpress.org,en-US
42,zoom.us,en-US
44,mail.ru,ru
51,openai.com,en-US
55,goo.gl,en
56,sharepoint.com,ar-ww
58,intuit.com,
63,googledomains.com,en
65,google-analytics.com,en
70,msn.com,
71,office365.com,ar
73,mozilla.org,en
78,atg.se,sv
79,spotify.com,en
80,cloudflare.net,en-US
81,tumblr.com,en-US
82,skype.com,en
84,icloud.com,en-us
86,nih.gov,en
88,jd.com,
90,myfritz.net,en
93,canva.com,en-US
95,europa.eu,en
96,nic.ru,ru
97,ebay.com,en
98,dropbox.com,en
100,google.com.hk,en-IR
102,opera.com,en
105,outlook.com,en
106,salesforce.com,de
107,imdb.com,
110,digicert.com,en-US
114,force.com,en
115,medium.com,en
119,gravatar.com,
120,zemanta.com,
121,yahoo.co.jp,ja
122,aliexpress.com,en
123,soundcloud.com,en
126,apache.org,en
127,lencr.org,en-US
128,xiaoeknow.com,zh
132,myshopify.com,en
134,archive.org,en
135,github.io,en
138,forbes.com,en
139,dnsmadeeasy.com,en
140,datadoghq.com,en
144,indeed.com,en-US
145,stackoverflow.com,en
146,meraki.com,
150,gstatic.com,en
151,roblox.com,
153,w3.org,en
156,sberdevices.ru,ru-RU
157,aliyun.com,en
158,amazon.co.uk,en-gb
160,sciencedirect.com,en
162,amazon.in,en-us
163,googleapis.com,en
165,sourceforge.net,en-US
168,imgur.com,en
170,booking.com,en-us
172,hp.com,ar-emea_middle_east
175,epicgames.com,
176,ownit.se,sv
182,creativecommons.org,en-US
185,cisco.com,en-US
186,1688.com,
187,ibm.com,en-US
189,oracle.com,en
194,amazon.co.jp,ja-jp
